SKU_ID,Cluster,Segment,Avg_Daily_Sales,Sales_Volatility,Sales_CV,Active_Days_Pct
S001_P0001,2,Fast Moving,138.18098837209303,108.19169093946915,0.7829708296659659,0.9941860465116279
S001_P0002,1,Medium,134.83713178294573,107.49150983998544,0.7971951082515532,0.9903100775193798
S001_P0003,2,Fast Moving,142.79255813953486,104.96641938307415,0.73509721654773,0.9941860465116279
S001_P0004,2,Fast Moving,140.6241472868217,113.03026776453267,0.8037756097196896,0.9961240310077519
S001_P0005,0,Slow Moving,132.88577519379845,106.61718944807012,0.8023220037612101,0.998062015503876
S001_P0006,0,Slow Moving,131.8593992248062,109.2946207784019,0.8288723680846033,0.998062015503876
S001_P0007,2,Fast Moving,141.1168023255814,113.38169344045328,0.8034598540878438,0.9883720930232558
S001_P0008,2,Fast Moving,137.26238372093025,108.57983793037478,0.7910384992347554,0.9941860465116279
S001_P0009,0,Slow Moving,124.80418604651163,106.68888456818806,0.854850140843242,0.9961240310077519
S001_P0010,1,Medium,130.92912790697673,103.93583077387437,0.7938326978653085,0.9883720930232558
S001_P0011,1,Medium,127.7151550387597,105.86481787388607,0.828913448467593,0.9903100775193798
S001_P0012,1,Medium,128.85263565891472,101.90193949977854,0.7908408785763136,0.9961240310077519
S001_P0013,0,Slow Moving,132.9746511627907,108.33277292216005,0.8146873394889611,0.9941860465116279
S001_P0014,0,Slow Moving,134.94087209302327,109.63919709141263,0.8124980020201098,0.9922480620155039
S001_P0015,0,Slow Moving,135.90697674418604,111.6316022945213,0.8213823657546199,0.9941860465116279
S001_P0016,1,Medium,129.3687984496124,103.72464900389237,0.8017747882735727,0.9922480620155039
S001_P0017,0,Slow Moving,131.9526162790698,107.51939476944796,0.814833306478134,0.9961240310077519
S001_P0018,2,Fast Moving,135.211996124031,107.54460511710552,0.7953776310252658,0.998062015503876
S001_P0019,1,Medium,136.25106589147288,109.30581187537767,0.8022381559940288,0.9922480620155039
S001_P0020,2,Fast Moving,144.14352713178295,112.83565022419012,0.7828006199197841,0.998062015503876
S002_P0001,2,Fast Moving,145.5649031007752,113.95694479827709,0.7828599788974161,0.998062015503876
S002_P0002,0,Slow Moving,134.50482558139535,108.1280646188674,0.803897229058608,0.998062015503876
S002_P0003,0,Slow Moving,131.35385658914728,110.82680440407117,0.8437270046318369,0.998062015503876
S002_P0004,2,Fast Moving,144.05058139534884,110.59362233253863,0.7677415362288441,1.0
S002_P0005,1,Medium,133.26569767441862,105.87790167822628,0.7944872205000894,0.9961240310077519
S002_P0006,1,Medium,132.94474806201552,105.30167722197808,0.7920709229683007,0.9922480620155039
S002_P0007,0,Slow Moving,132.15093023255815,110.01938283381244,0.8325281881475927,0.9903100775193798
S002_P0008,0,Slow Moving,124.78955426356589,106.08016777393674,0.8500724271292961,0.9922480620155039
S002_P0009,2,Fast Moving,140.36141472868218,111.19414121839166,0.7921987215029292,0.9961240310077519
S002_P0010,0,Slow Moving,131.00201550387595,111.10372084253555,0.8481068931201245,1.0
S002_P0011,2,Fast Moving,136.0552131782946,107.76855695114932,0.7920942278704228,1.0
S002_P0012,2,Fast Moving,137.1779457364341,107.41530192941477,0.7830361762774508,1.0
S002_P0013,1,Medium,133.13356589147287,105.61176638844233,0.7932767198751904,0.9961240310077519
S002_P0014,1,Medium,131.93137596899223,104.78936798995451,0.794271713438856,0.998062015503876
S002_P0015,1,Medium,129.44379844961242,101.86306599495859,0.7869288397413773,0.9922480620155039
S002_P0016,2,Fast Moving,139.51044573643412,108.02606931138845,0.7743223885346158,0.9922480620155039
S002_P0017,1,Medium,136.26827519379844,104.80677058434846,0.769120785774137,0.9922480620155039
S002_P0018,2,Fast Moving,139.16393410852712,110.52698391535324,0.7942214100310255,0.9941860465116279
S002_P0019,1,Medium,131.73242248062016,106.65438375299837,0.8096288950611221,0.9941860465116279
S002_P0020,2,Fast Moving,145.67833333333334,111.91816116422696,0.7682553123777763,0.9961240310077519
S003_P0001,0,Slow Moving,130.1366860465116,107.95504399133526,0.8295511356208974,0.9941860465116279
S003_P0002,2,Fast Moving,141.95804263565893,112.36342733199427,0.7915255615712026,0.9922480620155039
S003_P0003,1,Medium,128.3836434108527,101.45469978204471,0.7902462430896082,0.998062015503876
S003_P0004,1,Medium,134.30631782945736,104.76470274741918,0.7800429394544222,0.9903100775193798
S003_P0005,2,Fast Moving,145.70166666666665,109.26934003721391,0.7499525231078712,0.998062015503876
S003_P0006,2,Fast Moving,142.36418604651163,116.95007220624078,0.82148514481852,1.0
S003_P0007,2,Fast Moving,139.07470930232557,112.4672293850364,0.808682051987832,0.998062015503876
S003_P0008,0,Slow Moving,136.45447674418602,112.1784820094267,0.8220944923542892,0.9941860465116279
S003_P0009,2,Fast Moving,137.69292635658914,111.51429297812048,0.8098766423959997,1.0
S003_P0010,1,Medium,133.4824031007752,105.3742519334044,0.789424235639567,0.9883720930232558
S003_P0011,1,Medium,134.78381782945735,106.71807667531951,0.791772116832521,0.9961240310077519
S003_P0012,1,Medium,136.55817829457365,110.3131641634076,0.8078106889163458,0.9903100775193798
S003_P0013,2,Fast Moving,148.2119573643411,114.00993211309762,0.7692356706448236,0.9941860465116279
S003_P0014,2,Fast Moving,143.87672480620154,113.27954547764222,0.7873374776695273,0.9941860465116279
S003_P0015,1,Medium,134.77744186046513,105.67719120150447,0.7840865793405256,0.9883720930232558
S003_P0016,2,Fast Moving,144.30806201550388,114.19306331492572,0.7913144546942411,1.0
S003_P0017,2,Fast Moving,139.8137984496124,106.9066166584163,0.764635609628962,0.998062015503876
S003_P0018,0,Slow Moving,128.82246124031008,106.45955356104014,0.8264051491641288,0.9922480620155039
S003_P0019,2,Fast Moving,143.69178294573643,110.34271977656122,0.76791247095254,0.9903100775193798
